"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cdc201",1.11536239119002e-59,0.569462675931481,0.588,0.226,1.78134527496959e-55,"TA.G2","Cdc20"
"Kif20a",1.12729318355978e-59,0.393368581204014,0.278,0.062,1.80039994346332e-55,"TA.G2","Kif20a"
"Fbxo51",4.02247491041103e-59,0.344730109040205,0.31,0.074,6.42429467941746e-55,"TA.G2","Fbxo5"
"Kif11",5.01131737074277e-59,0.37994587874449,0.31,0.075,8.00357497281328e-55,"TA.G2","Kif11"
"Axin21",9.45523836283829e-59,0.503160642892729,0.549,0.2,1.5100961189289e-54,"TA.G2","Axin2"
"Rrm11",2.0650911637644e-58,0.45820315574082,0.563,0.21,3.29815709764812e-54,"TA.G2","Rrm1"
"Sox43",4.21701402524239e-58,0.468907279835412,0.646,0.27,6.73499309971461e-54,"TA.G2","Sox4"
"Cenpa1",4.72719662828745e-58,0.725746834415524,0.632,0.278,7.54980573503788e-54,"TA.G2","Cenpa"
"Esco2",7.75039174624124e-58,0.345545024130618,0.227,0.043,1.23781506579219e-53,"TA.G2","Esco2"
"Rps51",1.48457483918967e-57,0.387935291509015,1,0.989,2.37101447566983e-53,"TA.G2","Rps5"
"Dut2",2.23394817340737e-57,0.591065586328934,0.82,0.441,3.56783862774891e-53,"TA.G2","Dut"
"Mad2l1",1.17145682515421e-56,0.406222015877865,0.39,0.117,1.8709336954538e-52,"TA.G2","Mad2l1"
"Rfc41",2.68979223871652e-56,0.569348729306134,0.573,0.234,4.29586718445416e-52,"TA.G2","Rfc4"
"Smoc21",3.30389586044143e-56,0.492671757627229,0.698,0.309,5.27665207871101e-52,"TA.G2","Smoc2"
"Nrm1",3.96132872294612e-56,0.498042956483488,0.432,0.14,6.32663810341725e-52,"TA.G2","Nrm"
"Ttk",5.52287950206601e-56,0.292251999408542,0.207,0.037,8.82059085274963e-52,"TA.G2","Ttk"
"Rgcc1",1.89712573222464e-55,0.540100604584377,0.471,0.16,3.02989950693597e-51,"TA.G2","Rgcc"
"Kif221",6.36859329970455e-55,0.412183544953439,0.407,0.127,1.01712803589581e-50,"TA.G2","Kif22"
"Ska1",4.91037982407783e-54,0.336125707683913,0.268,0.062,7.84236761703471e-50,"TA.G2","Ska1"
"Mis18bp1",5.53326150762107e-54,0.412977871351754,0.224,0.046,8.83717195382162e-50,"TA.G2","Mis18bp1"
"Asf1b1",5.86068536888741e-54,0.42178300049989,0.39,0.12,9.36010060265009e-50,"TA.G2","Asf1b"
"Cdca2",1.93044847318749e-53,0.379089862935634,0.259,0.059,3.08311925652774e-49,"TA.G2","Cdca2"
"Hmgb31",4.70253531072434e-53,0.482889483911049,0.783,0.408,7.51041914475784e-49,"TA.G2","Hmgb3"
"Nuf2",5.7078947516359e-53,0.268163185220699,0.234,0.05,9.11607870783769e-49,"TA.G2","Nuf2"
"Tubb4b1",7.86949449049246e-53,0.538248078861878,0.92,0.659,1.25683696507655e-48,"TA.G2","Tubb4b"
"Ccnb2",2.73891750694214e-52,0.558791826141245,0.622,0.273,4.3743251503373e-48,"TA.G2","Ccnb2"
"Nrtn1",4.84263295433245e-52,0.377138421385873,0.444,0.148,7.73416909136435e-48,"TA.G2","Nrtn"
"Anp32b2",5.66144524588686e-52,0.487770244425829,0.932,0.652,9.04189420220591e-48,"TA.G2","Anp32b"
"Kif20b",2.15356022643599e-51,0.358896646531423,0.249,0.056,3.43945103764092e-47,"TA.G2","Kif20b"
"Kif15",2.29046026057982e-51,0.305030723197045,0.227,0.048,3.65809408217203e-47,"TA.G2","Kif15"
"Bex12",3.03282751606229e-51,0.566749884450943,0.405,0.131,4.84372882590309e-47,"TA.G2","Bex1"
"Plk1",3.66352311272832e-51,0.409274796584625,0.378,0.117,5.8510127633384e-47,"TA.G2","Plk1"
"Slc12a22",5.26716367961182e-51,0.467004177263657,0.866,0.46,8.41218711270804e-47,"TA.G2","Slc12a2"
"Ncaph",1.36371315720073e-50,0.285095961531043,0.244,0.055,2.17798628336528e-46,"TA.G2","Ncaph"
"Ccnb1",3.07578450150475e-50,0.547891172387224,0.422,0.145,4.91233542735323e-46,"TA.G2","Ccnb1"
"Cdk43",3.59343976283005e-50,0.458182630782311,0.959,0.649,5.73908264521587e-46,"TA.G2","Cdk4"
"Ncapg",1.06247423376928e-49,0.288454019447953,0.224,0.048,1.69687759875292e-45,"TA.G2","Ncapg"
"Ckap2l",1.12219976248866e-49,0.312790820211901,0.224,0.048,1.79226524067064e-45,"TA.G2","Ckap2l"
"Ranbp12",1.51572559372313e-49,0.480159297433225,0.983,0.813,2.42076534573522e-45,"TA.G2","Ranbp1"
"Wbp53",2.29187943900934e-49,0.502722529421965,0.88,0.533,3.66036065204181e-45,"TA.G2","Wbp5"
"Rps31",3.75556263900304e-49,0.319071706065689,1,0.989,5.99800909075175e-45,"TA.G2","Rps3"
"Tubb2b2",6.85050118798529e-49,0.318018448842536,0.346,0.101,1.09409354473313e-44,"TA.G2","Tubb2b"
"Tmpo1",8.5786912444469e-49,0.539639679036241,0.717,0.376,1.37010277865062e-44,"TA.G2","Tmpo"
"Lsm21",1.079911575936e-48,0.545481543742036,0.788,0.451,1.72472677792738e-44,"TA.G2","Lsm2"
"Ezh21",1.17169353063555e-48,0.446411351327998,0.493,0.191,1.87131173777803e-44,"TA.G2","Ezh2"
"H3f3b2",2.34567385053332e-48,0.37469103007816,0.998,0.978,3.74627570668676e-44,"TA.G2","H3f3b"
"Cks1brt",4.46291662893673e-48,0.259516716664105,0.259,0.064,7.12772414807485e-44,"TA.G2","Cks1brt"
"Cenpe",4.82919215267019e-48,0.444960546120807,0.307,0.086,7.71270278702957e-44,"TA.G2","Cenpe"
"Nucks11",5.48964027959934e-48,0.521539274701873,0.7,0.359,8.7675044905481e-44,"TA.G2","Nucks1"
"Rgmb1",1.07571691574681e-47,0.425272279709382,0.483,0.181,1.71802748613924e-43,"TA.G2","Rgmb"
"4930523C07Rik",1.1646687907534e-47,0.311902520801398,0.205,0.042,1.86009252571226e-43,"TA.G2","4930523C07Rik"
"Gmnn1",1.53584054626379e-47,0.500741900091672,0.7,0.355,2.4528909364379e-43,"TA.G2","Gmnn"
"Ckap2",1.91667882420224e-47,0.35363799888929,0.254,0.062,3.0611277501334e-43,"TA.G2","Ckap2"
"Clspn",2.37706346397453e-47,0.287611102795515,0.193,0.038,3.79640805831372e-43,"TA.G2","Clspn"
"Ndc80",3.3373984627484e-46,0.280074011952503,0.227,0.052,5.33015908485547e-42,"TA.G2","Ndc80"
"Kif23",4.24512366991673e-46,0.351927472472055,0.366,0.119,6.77988701322401e-42,"TA.G2","Kif23"
"Tuba1c",5.55953504770281e-46,0.519435800555103,0.69,0.35,8.87913342468615e-42,"TA.G2","Tuba1c"
"Mif3",6.44739327002571e-46,0.434656957243886,0.954,0.717,1.02971317915581e-41,"TA.G2","Mif"
"Psrc1",8.41017348276561e-46,0.267377530282599,0.166,0.029,1.3431888069325e-41,"TA.G2","Psrc1"
"Rpl141",1.39200674505374e-45,0.329143352511351,1,0.976,2.22317397252532e-41,"TA.G2","Rpl14"
"Dctpp13",1.67959544249075e-45,0.530254135840229,0.893,0.62,2.68248188120198e-41,"TA.G2","Dctpp1"
"Bub31",8.83178762476186e-45,0.480910688300847,0.715,0.374,1.41052480155072e-40,"TA.G2","Bub3"
"Rpl13a1",1.12084536458031e-44,0.317552046861504,0.998,0.987,1.79010213177122e-40,"TA.G2","Rpl13a"
"Cenpu",1.32268707313555e-44,0.314379015891405,0.229,0.055,2.11246352450478e-40,"TA.G2","Cenpu"
"Eef1b21",1.33710743910773e-44,0.375226120536662,0.988,0.891,2.13549429099895e-40,"TA.G2","Eef1b2"
"Lmnb1",2.02977551670035e-44,0.400023507089171,0.551,0.235,3.24175447772213e-40,"TA.G2","Lmnb1"
"Dbf4",1.32417871037187e-43,0.330668566976172,0.293,0.085,2.11484581833491e-39,"TA.G2","Dbf4"
"Dtymk2",3.33301963332993e-43,0.44823341338153,0.807,0.461,5.32316565639123e-39,"TA.G2","Dtymk"
"Bub1b",7.68533657522671e-43,0.327851014942611,0.268,0.074,1.22742510442946e-38,"TA.G2","Bub1b"
"Gkn31",1.03530287535779e-42,0.308741557991037,0.5,0.195,1.65348222223393e-38,"TA.G2","Gkn3"
"Rps4x1",1.17675081766071e-42,0.383482792667027,0.98,0.933,1.87938873088592e-38,"TA.G2","Rps4x"
"Kifc1",1.35508221211255e-42,0.285551905940374,0.259,0.069,2.16420180096496e-38,"TA.G2","Kifc1"
"Sgol1",1.37808082148823e-42,0.283152981581626,0.229,0.057,2.20093287999886e-38,"TA.G2","Sgol1"
"Cnn33",1.3941012039489e-42,0.414149744167664,0.778,0.418,2.22651903282678e-38,"TA.G2","Cnn3"
"Pabpc11",1.54064607790606e-42,0.342324721087039,0.995,0.896,2.46056585102376e-38,"TA.G2","Pabpc1"
"Rfc51",1.75368523752994e-42,0.391065667150164,0.454,0.179,2.80081069285907e-38,"TA.G2","Rfc5"
"Rps191",1.78680024465258e-42,0.364099132792452,1,0.978,2.85369867073463e-38,"TA.G2","Rps19"
"Snrpg2",4.48723561537872e-42,0.400154784239585,0.98,0.817,7.16656400132135e-38,"TA.G2","Snrpg"
"Cdca73",5.7317582376619e-42,0.37311706460481,0.629,0.284,9.15419108136982e-38,"TA.G2","Cdca7"
"Phgdh",3.4644123301033e-41,0.283519444676336,0.322,0.101,5.53301293240798e-37,"TA.G2","Phgdh"
"Cenpl",4.06311246605172e-41,0.299154330578821,0.271,0.077,6.48919691953119e-37,"TA.G2","Cenpl"
