"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"RpS2.3",1.43942946935008e-28,-0.42620383464685,0.994,0.991,1.34140432248734e-24,"8","RpS2"
"tap.8",3.50686017934127e-28,0.587670086993251,0.964,0.561,3.26804300112813e-24,"8","tap"
"CG42827",1.0009367808078e-27,0.649951525740006,0.237,0.047,9.32772986034789e-24,"8","CG42827"
"Tk.8",2.154976028126e-27,-3.23665912939793,0.763,0.874,2.00822216061062e-23,"8","Tk"
"CG4467.6",2.29909504304221e-27,0.495249340912907,0.467,0.155,2.14252667061104e-23,"8","CG4467"
"CG4607.5",7.62849506190413e-27,0.440111576865591,0.361,0.098,7.10899454818846e-23,"8","CG4607"
"RpL41.3",1.60364449568123e-26,-0.406918718381003,0.994,0.996,1.49443630552534e-22,"8","RpL41"
"RpL39.1",3.07987811655774e-26,-0.345980937286784,1,0.996,2.87013841682016e-22,"8","RpL39"
"RpS7.2",6.10868801206418e-26,-0.371320372945148,0.994,0.995,5.69268635844261e-22,"8","RpS7"
"NLaz.8",7.18780879453006e-26,-0.850712710772367,0.811,0.923,6.69831901562257e-22,"8","NLaz"
"AstC.7",8.47637113783478e-26,0.304162616105965,1,0.978,7.89913026334823e-22,"8","AstC"
"CG11594.2",8.84337214641338e-26,0.347242645017978,0.302,0.074,8.24113850324263e-22,"8","CG11594"
"RpS21.1",1.0877768809251e-25,-0.387050907502823,0.982,0.99,1.01369927533411e-21,"8","RpS21"
"cathD.7",4.40225058106266e-25,-0.743878506031332,0.834,0.939,4.10245731649229e-21,"8","cathD"
"Sytalpha.5",5.23148038733089e-25,-0.866954258979587,0.473,0.77,4.87521657295365e-21,"8","Sytalpha"
"mirr.7",6.15679504321923e-25,-1.36232389193833,0.065,0.466,5.737517300776e-21,"8","mirr"
"exex.8",1.30971511945092e-24,0.465717532838129,0.68,0.285,1.22052351981631e-20,"8","exex"
